Schaltschrank				
	Erweiterungsmodul  SM 1223,8DE/8DA , 6ES7223-1BH30-0XB0		8198	246,4
	Simatic S7-1500, CPU 1513-1 PN	E-SPS-S7-1500-CPU-1513-001	31451	1382,4
	Siemens S7-1500 16DI 3,2ms	E-SPS-S7-1500-EM-16I-001	23057	176
	Siemens S7-1500 16DO 0,5A	E-SPS-S7-1500-EM-16O-001	23058	163,2
	SiemensSIMATIC S7-300, FRONTST. für SIGNALBAUGRUPPEN MIT SCHRAUBK., 20-POLI	E-SPS-S7-3-ST-FSA-20-001	8212	19,68
	S7-1500 Powermodul 25W	E-SPS-S7-1500-PM-25	38609	177,6
	Siemens S7-1500 4AI 16bit	E-SPS-S7-1500-EM-4AI-001	23059	234,4
	Siemens ET 200SP/PN-PN kopl. Busadapter	E-SI-BA-RJ45-PN-001	8086	46,4
	Siemens S7-1500 Pofilschiene 530mm	E-SPS-S7-1500-PS-001	23060	30
	Siemens SIMATIC SD-CARD 4MB 6ES7954-8LC0	E-SPS-S7-3-MMC-2MB-001	8209	46,24
	Siemens ASI-Sicherheitsmonitor	E-ASI-SM-001	7124	302,09
	Siemens DP-ASI Link Doppelmaster für S7 300	E-ASI-DM-300-001		558,9
	Siemens ASI-Netzteil 230V/30V 3A	E-ASI-3A-230-30-001		146,37
	Siemens ASI-Eingangsmodul	E-ASI-EM-001	15267	30,12
	Siemens Asisafe-Modul Sichere Eingänge	E-ASI-EM-SE-001	15268	34,1
	Siemens Profibus DPV1 Modul für S7-1200	E-SPS-S7-1200-PRB-001	8189	356,7
	Siemens PN/PN Koppler 6ES7158-3AD10-0XA0	E-SPS-S7-KOP-002	27010	468,8
Touchpanel 				
	Siemens Touch Panel TP700 Comfort	E-BB-TP-TP700-TFT-001	7144	901,6
	Siemens Touch Panel TP700 ComfortOutdoor	E-BB-TP-TP700-TFT-002	45687	1238,3
	Siemens Touch Panel TP1200 Comfort 12"	E-BB-TP-TP1200-C-001	7142	1981,12
	Siemens Touch Panel TP1500 15"	E-BB-TP-TP1500-TFT-001	7143	2521,5
	Siemens Touch Panel TP900	E-BB-TP-TP900-001	41621	1386,7
